article_id,year,decade,journal,title,intended_outcome__belonging_and_community,intended_outcome__belonging_and_community_engagement_and_participation,intended_outcome__belonging_and_community_learning_and_literacy,intended_outcome__belonging_and_community_wellness_and_resilience,intended_outcome__collections_and_access,intended_outcome__cultural_stewardship_and_preservation,intended_outcome__cultural_stewardship_and_preservation_belonging_and_community,intended_outcome__cultural_stewardship_and_preservation_discovery_and_advisory,intended_outcome__discovery_and_advisory,intended_outcome__discovery_and_advisory_equitable_access,intended_outcome__discovery_and_advisory_institutional_capacity,intended_outcome__engagement_and_participation,intended_outcome__engagement_and_participation_discovery_and_advisory,intended_outcome__engagement_and_participation_equitable_access,intended_outcome__engagement_and_participation_equitable_access_learning_and_literacy,intended_outcome__engagement_and_participation_institutional_capacity,intended_outcome__equitable_access,intended_outcome__equitable_access_belonging_and_community,intended_outcome__equitable_access_community_and_inclusion,intended_outcome__equitable_access_cultural_stewardship_and_preservation,intended_outcome__equitable_access_discovery_and_advisory,intended_outcome__equitable_access_engagement_and_participation,intended_outcome__equitable_access_institutional_capacity,intended_outcome__equitable_access_learning_and_literacy,intended_outcome__institutional_capacity,intended_outcome__institutional_capacity_belonging_and_community,intended_outcome__institutional_capacity_social_equity_and_access,intended_outcome__learning_and_literacy,intended_outcome__learning_and_literacy_belonging_and_community,intended_outcome__learning_and_literacy_discovery_and_advisory,intended_outcome__learning_and_literacy_engagement_and_participation,intended_outcome__learning_and_literacy_equitable_access,intended_outcome__learning_and_literacy_institutional_capacity,intended_outcome__not_applicable,intended_outcome__other,intended_outcome__professional_capacity,intended_outcome__space_and_infrastructure,intended_outcome__sustainable_operations,intended_outcome__theoretical_or_conceptual,intended_outcome__wellness_and_resilience
chapman2007,2007,2000s,Library Trends,"Resource Discovery: Catalogs, Cataloging, and the User",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chapman2013,2013,2010s,Library Trends,No More Controversial than a Gardening Display?: Provision of LGBT-Related Fiction to Children and Young People in U.K. Public Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chapman2025,2025,2020s,College & Research Libraries,After Disruption: A Future for Cultural Memory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
charles2021,2021,2020s,College & Research Libraries,Closing the Transactional Distance in an Online Graduate Course through the Practice of Embedded Librarianship,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charnigo2007,2007,2000s,Information Technology and Libraries,Checking Out Facebook.com: The Impact of a Digital Trend on Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chatzitheodorou2024,2024,2020s,Information Technology and Libraries,Adapting Machine Translation Engines to the Needs of Cultural Heritage Metadata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chauveinc1971,1971,1970s,Information Technology and Libraries,MONOCLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chawner2006,2006,2000s,Information Technology and Libraries,WikiWikiWebs: New Ways to Communicate in a Web Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cheery2006,2006,2000s,Information Technology and Libraries,Bibliographic Displays in Web Catalogs: Does Conformity to Design Guidelines Correlate with User Performance?,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chen1968,1968,1960s,Information Technology and Libraries,Subject Reference Lists Produced by Computer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chen2008,2008,2000s,College & Research Libraries,Organizational Learning in the Evaluation Procedures: A Qualitative Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chen2009,2009,2000s,College & Research Libraries,An Assessment of the Completeness of Scholarly Information on the Internet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chen2023,2023,2020s,College & Research Libraries,More than a Decade Later: Library Web Usability Practices at ARL Academic Libraries in 2007 and 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cheng2007,2007,2000s,Library Trends,Loss of a Recorded Heritage: Destruction of Chinese Books in the Peking Siege of 1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cheng2020,2020,2020s,College & Research Libraries,Librarians and Administrators on Academic Library Impact Research: Characteristics and Perspectives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chickering2014,2014,2010s,Information Technology and Libraries,Evaluation and Comparison of Discovery Tools: An Update,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chisman1999,1999,1990s,College & Research Libraries,Usability Testing: A Case Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiu2023,2023,2020s,College & Research Libraries,"Stefan Vogler. Sorting Sexualities: Expertise and the Politics of Legal Classification. Chicago: University of Chicago Press, 2021. 280 p. Paperback, $30 (ISBN: 9780226776767)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cho2025,2025,2020s,Library Trends,Webtoon Romance Reading and New Ways to Look at Genre Reading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chomintra2021,2021,2020s,College & Research Libraries,"Caroline Criado Perez. Invisible Women: Data Bias in a World Designed for Men. New York, NY: Abrams Press, 2019. 411p. Paper, $27.00 (ISBN 978-1-4197-2907-2). LC 2018-59561.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
choudhury2008,2008,2000s,Library Trends,Case Study in Data Curation at Johns Hopkins University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chow2014,2014,2010s,College & Research Libraries,A Usability Evaluation of Academic Virtual Reference Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chrzastowski2007,2007,2000s,College & Research Libraries,Feast AND Famine: A Statewide Science Serial Collection Assessment in Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chu2018,2018,2010s,Information Technology and Libraries,Identifying Emerging Relationship in Healthcare Domain Journals via Citation Network Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chung2024,2024,2020s,Library Trends,"""Something that Belongs to All of Us"": Beda Cornwall and the Las Vegas Public Library Campaign",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cicero2024,2024,2020s,College & Research Libraries,"Instructional Identities and Information Literacy: Transforming Student Learning, Information Seeking, and Experiences, Volume 3, Amanda Nichols Hess (ed.), ACRL, 2023. 200p. Softcover. $65.00. 9780838939468. (Review 3 of a 3-volume title)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
claire2026,2026,2020s,College & Research Libraries,"Training Library Instructors, Vol. 1 and 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clark1974,1974,1970s,Information Technology and Libraries,Subject Access to a Data Base of Library Holdings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clark2014,2014,2010s,College & Research Libraries,Perceived Inadequacy: A Study of the Imposter Phenomenon among College and Research Librarians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clark2021,2021,2020s,College & Research Libraries,"Yarden Katz. Artificial Whiteness: Politics and Ideology in Artificial Intelligence. New York, NY: Columbia University Press, 2020. 352p. Paperback, $28.00 (ISBN: 9780231194907).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clark2025,2025,2020s,College & Research Libraries,Music Students and Library Collections after Pandemic Closures: An Examination of Format Preferences and Reported Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clarke2013,2013,2010s,Library Trends,Three Digital Platforms: Hangzhou Public Library Widens Access to Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clarke2022,2022,2020s,College & Research Libraries,"Invisible Labor, Invisible Value: Unpacking Traditional Assessment of Academic Library Value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cleverley2024,2024,2020s,Information Technology and Libraries,Beyond the Bookshelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
click2017,2017,2010s,College & Research Libraries,The Internationalization of the Academic Library: A Systematic Review of 25 Years of Literature on International Students,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cloonan2007-1,2007,2000s,Library Trends,The Moral Imperative to Preserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cloonan2007,2007,2000s,Library Trends,The Paradox of Preservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cloonan2024,2024,2020s,Library Trends,Researching the Personal Life: Mary Niles Maack's Early Writing on Feminist Biography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clossen2018,2018,2010s,Information Technology and Libraries,Trope or Trap? Role-Playing Narratives and Length in Instructional Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clossen2024,2024,2020s,College & Research Libraries,Dungeons and Dragons in the Information Literacy Classroom: How We Taught Bias in a For-Credit IL Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clougherty1998,1998,1990s,College & Research Libraries,The University of Iowa Libraries’ Undergraduate User Needs Assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clunis2026,2026,2020s,Library Trends,Epistemic Justice and Linked Data: Balancing Global Interoperability and Community Knowledge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cochrane2013,2013,2010s,Library Trends,Knowledge Space Revisited: Challenges for Twenty-First Century Library and Information Science Researchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cohen1999,1999,1990s,College & Research Libraries,"A Comparison of Research University and Two-Year College Library Web Sites: Content, Functionality, and Form",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
colaric2003,2003,2000s,College & Research Libraries,Instruction for Web Searching: An Empirical Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cole2023,2023,2020s,College & Research Libraries,"Belinha S. De Abreu. Media Literacy for Justice: Lessons for Changing the World. Chicago: ALA Neal-Schuman, 2022, 184 p. $54.99 ($49.49 ALA members) ISBN: 978-0-8389-4892-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cole2025,2025,2020s,College & Research Libraries,"Supporting Student Parents in the Academic Library: Designing Spaces, Policies, and Services, Kelsey Keyes and Ellie Dworak, Association of College and Research Libraries, 2024. 312p. Softcover, 82.00. 9798892555531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cole2026,2026,2020s,College & Research Libraries,Finding Their Own Way: A Phenomenological Study of Academic Librarians’ Experiences with Tenure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
colegrove2015,2015,2010s,Information Technology and Libraries,Editorial Thoughts: Rise of the Innovation Commons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
colegrove2017,2017,2010s,Information Technology and Libraries,"Editorial Board Thoughts: Arts into Science, Technology, Engineering, and Mathematics – STEAM, Creative Abrasion, and the Opportunity in Libraries Today",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coleman2022,2022,2020s,Library Trends,"International Contexts and U.S. Trends in Equity, Diversity, Inclusion, and Accessibility in Libraries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compton2015,2015,2010s,Library Trends,Parallax Ontology and the Philosophy of Information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
congress1981,1981,1980s,Information Technology and Libraries,Inclusion of Nonroman Character Sets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connaway1997,1997,1990s,College & Research Libraries,Online Catalogs from the Users’ Perspective: The Use of Focus Group Interviews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connaway2006,2006,2000s,College & Research Libraries,Last Copies: What’s at Risk?*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connaway2022,2022,2020s,Library Trends,The Library in the Life of the Community: Twenty Years of OCLC Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connell2011,2011,2010s,College & Research Libraries,The Use of Institutional Repositories: The Ohio State University Experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connell2013-1,2013,2010s,College & Research Libraries,Maternity and Paternity Policies Available to Academic Librarians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connell2013,2013,2010s,Information Technology and Libraries,Content Management Systems: Trends in Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
connell2021,2021,2020s,Information Technology and Libraries,Impact of COVID-19 on the Use of Academic Library Resources,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
conrad2019,2019,2010s,Information Technology and Libraries,“Am I on the library website?”,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cook2019,2019,2010s,Information Technology and Libraries,Challenges and Strategies for Educational Virtual Reality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cook2022,2022,2020s,College & Research Libraries,Is the Library One-Shot Effective? A Meta-Analytic Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cooke2011,2011,2010s,College & Research Libraries,Students Use More Books after Library Instruction: An Analysis of Undergraduate Paper Citations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cooper2005,2005,2000s,Library Trends,Developmentally Appropriate Digital Environments for Young Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
copeland2011,2011,2010s,Library Trends,Helping People to Manage and Share Their Digital Information: A Role for Public Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copeland2013,2013,2010s,Library Trends,Three Different Paths for Tabletop Gaming in School Libraries,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
copper2023,2023,2020s,College & Research Libraries,Breaking Barriers: How Libraries Can Better Support Female Architecture Students for Professional Success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
corbly2014,2014,2010s,Information Technology and Libraries,"The Free Software Alternative: Freeware, Open Source Software, and Libraries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cornish2017,2017,2010s,Information Technology and Libraries,Using a Native XML Database for Encoded Archival Description Search and Retrieval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
corrall2013-1,2013,2010s,Library Trends,Getting Research into Policy and Practice: A Review of the Work of Bob Usherwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
corrall2013,2013,2010s,Library Trends,Bibliometrics and Research Data Management Services: Emerging Trends in Library Support for Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosgrove2005,2005,2000s,College & Research Libraries,Setting the Record Straight: How Online Database Providers Are Handling Plagiarism and Fabrication Issues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
costanzo2011,2011,2010s,Library Trends,Prison Libraries in Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
costello2018,2018,2010s,College & Research Libraries,"Nicole A. Cooke. Information Services to Diverse Populations: Developing Culturally Competent Library Professionals. Santa Barbara, Calif.: Libraries Unlimited, 2017. 166p. Paper, $65.00 (ISBN 978-1-4408-3460-8). LC 60-31669.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
costello2019-1,2019,2010s,College & Research Libraries,"Patrick Lo, Dickson K.W. Chiu, Allan Cho, and Brad Allard. Conversations with Leading Academic and Research Library Directors: International Perspectives on Library Management. Cambridge, MA: Chandos Publishing, 2019. 524p. Paperback. $120.00 (ISBN 978-0-08-102746-2).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
costello2019,2019,2010s,Information Technology and Libraries,"Determining Textbook Cost, Formats, and Licensing with Google Books API: A Case Study from an Open Textbook Project",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
costello2020,2020,2020s,College & Research Libraries,"Library Services for Online Patrons: A Manual for Facilitating Access, Learning, and Engagement. Joelle E. Pitts, Laura Bonella, Jason M. Coleman, and Adam Wathen, eds. Santa Barbara, CA: Libraries Unlimited, 2019. 200p. Paperback. $55.00 (ISBN 978-1-44-085952-6).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cottrell2001,2001,2000s,College & Research Libraries,Applying an Information Problem-solving Model to Academic Reference Work: Findings and Implications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coughlin2022,2022,2020s,Information Technology and Libraries,Balancing Community and Local Needs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
couture2020,2020,2020s,College & Research Libraries,Getting into the Club: Existence and Availability of Mentoring for Tenured Librarians in Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
covino1981,1981,1980s,Information Technology and Libraries,An Informal Survey of the CTI Backup System,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coward1969,1969,1960s,Information Technology and Libraries,MARC International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cox2023-1,2023,2020s,College & Research Libraries,Professional Service: A Few Perspectives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cox2023,2023,2020s,College & Research Libraries,Research Outputs as Testimony the APC as Testimonial Injustice in the Global South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cox2025,2025,2020s,Library Trends,Chatting with the Decolonized Digital Library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
coyle2017,2017,2010s,Information Technology and Libraries,Book Review: Free Culture: How Big Media Uses Technology and the Law to Lock Down Culture and Control Creativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cramard2011,2011,2010s,Library Trends,The Long Development of Prison Libraries in France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crampsie2020,2020,2020s,College & Research Libraries,Academic Librarian Publishing Productivity: An Analysis of Skills and Behaviors Leading to Success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crawford1997,1997,1990s,College & Research Libraries,Information As a Strategic Contingency: Applying the Strategic Contingencies Theory of Intraorganizational Power to Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crawford1999,1999,1990s,College & Research Libraries,The Research Literature of Academic Librarianship: A Comparison of College & Research Libraries and Journal of Academic Librarianship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crawford2001,2001,2000s,College & Research Libraries,Best-Sellers in Academic Libraries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crenshaw2024,2024,2020s,Information Technology and Libraries,Improving the Student Search Experience in LibGuides,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crist2020,2020,2020s,College & Research Libraries,Information Literacy and Cultural Context: Chinese English Language Learners’ Understandings of Information Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cronin2013,2013,2010s,Library Trends,Putting Boyd in His Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crotts1999,1999,1990s,College & Research Libraries,Subject Usage and Funding of Library Monographs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
